code,secret_number_R1,secret_number_R2,secret_number_R3,secret_number_R4,secret_number_R5,secret_number_R6,secret_number_R7,secret_number_R8,secret_number_R9,secret_number_R10,secret_number_R11,secret_number_R12,secret_number_R13,secret_number_R14,secret_number_R15,secret_number_R16,secret_number_R17,secret_number_R18,secret_number_R19,secret_number_R20,secret_number_R21,secret_number_R22,secret_number_R23,secret_number_R24,sender_message_R1,sender_message_R2,sender_message_R3,sender_message_R4,sender_message_R5,sender_message_R6,sender_message_R7,sender_message_R8,sender_message_R9,sender_message_R10,sender_message_R11,sender_message_R12,sender_message_R13,sender_message_R14,sender_message_R15,sender_message_R16,sender_message_R17,sender_message_R18,sender_message_R19,sender_message_R20,sender_message_R21,sender_message_R22,sender_message_R23,sender_message_R24,sender_choice_R1,sender_choice_R2,sender_choice_R3,sender_choice_R4,sender_choice_R5,sender_choice_R6,sender_choice_R7,sender_choice_R8,sender_choice_R9,sender_choice_R10,sender_choice_R11,sender_choice_R12,sender_choice_R13,sender_choice_R14,sender_choice_R15,sender_choice_R16,sender_choice_R17,sender_choice_R18,sender_choice_R19,sender_choice_R20,sender_choice_R21,sender_choice_R22,sender_choice_R23,sender_choice_R24,used
0o3i7azq,4.0,6.0,2.0,3.0,5.0,4.0,3.0,4.0,4.0,7.0,6.0,7.0,5.0,1.0,4.0,3.0,5.0,7.0,4.0,1.0,4.0,2.0,1.0,6.0,4.0,6.0,5.0,7.0,5.0,4.0,3.0,7.0,4.0,3.0,6.0,7.0,7.0,7.0,7.0,5.0,5.0,7.0,7.0,6.0,6.0,5.0,1.0,7.0,4.0,6.0,5.0,7.0,8.0,8.0,8.0,7.0,8.0,3.0,8.0,8.0,7.0,7.0,7.0,5.0,5.0,8.0,7.0,6.0,6.0,5.0,8.0,7.0,0
11mnwgcp,6.0,7.0,1.0,5.0,2.0,6.0,4.0,7.0,5.0,4.0,1.0,6.0,5.0,1.0,4.0,2.0,6.0,3.0,3.0,1.0,4.0,5.0,1.0,4.0,1.0,6.0,5.0,6.0,4.0,5.0,7.0,5.0,2.0,4.0,5.0,4.0,5.0,1.0,4.0,2.0,7.0,3.0,6.0,1.0,4.0,2.0,1.0,1.0,1.0,6.0,5.0,6.0,4.0,5.0,7.0,5.0,2.0,4.0,5.0,4.0,8.0,8.0,4.0,8.0,7.0,3.0,6.0,8.0,8.0,2.0,8.0,1.0,0
1bkpchhx,5.0,2.0,1.0,6.0,5.0,7.0,5.0,2.0,5.0,7.0,1.0,7.0,3.0,7.0,2.0,4.0,6.0,4.0,4.0,7.0,2.0,6.0,7.0,6.0,6.0,4.0,6.0,6.0,5.0,7.0,5.0,2.0,6.0,7.0,7.0,6.0,7.0,7.0,5.0,6.0,6.0,6.0,5.0,7.0,6.0,6.0,7.0,6.0,6.0,4.0,6.0,8.0,8.0,8.0,5.0,8.0,6.0,8.0,7.0,6.0,7.0,8.0,5.0,6.0,6.0,6.0,5.0,7.0,6.0,8.0,8.0,6.0,0
2jzdyg32,6.0,5.0,5.0,7.0,5.0,3.0,2.0,2.0,3.0,4.0,5.0,7.0,2.0,1.0,4.0,4.0,5.0,5.0,2.0,1.0,1.0,3.0,7.0,4.0,2.0,3.0,3.0,6.0,5.0,3.0,2.0,3.0,3.0,6.0,6.0,4.0,5.0,3.0,7.0,3.0,5.0,5.0,7.0,3.0,1.0,6.0,7.0,4.0,2.0,3.0,3.0,6.0,8.0,8.0,8.0,3.0,8.0,6.0,6.0,4.0,5.0,3.0,7.0,3.0,8.0,8.0,7.0,3.0,8.0,6.0,8.0,8.0,0
2s39va6n,7.0,4.0,2.0,6.0,6.0,3.0,6.0,5.0,6.0,1.0,4.0,5.0,3.0,5.0,6.0,1.0,2.0,4.0,2.0,6.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,7.0,6.0,6.0,7.0,6.0,3.0,7.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0,6.0,6.0,8.0,8.0,7.0,5.0,7.0,8.0,6.0,7.0,6.0,8.0,7.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,8.0,5.0,6.0,0
2w83f53x,2.0,3.0,7.0,4.0,4.0,1.0,5.0,1.0,4.0,5.0,2.0,5.0,4.0,4.0,2.0,1.0,4.0,5.0,3.0,7.0,1.0,5.0,1.0,6.0,6.0,1.0,3.0,4.0,4.0,1.0,5.0,7.0,6.0,2.0,6.0,7.0,4.0,5.0,2.0,1.0,6.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,6.0,1.0,3.0,8.0,4.0,8.0,5.0,7.0,6.0,2.0,6.0,7.0,8.0,5.0,8.0,8.0,6.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,0
32ch5583,2.0,7.0,1.0,6.0,3.0,5.0,7.0,6.0,5.0,5.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,7.0,5.0,4.0,6.0,6.0,2.0,2.0,2.0,5.0,7.0,5.0,3.0,7.0,5.0,6.0,7.0,7.0,6.0,2.0,7.0,7.0,2.0,7.0,5.0,6.0,5.0,5.0,6.0,6.0,1.0,7.0,8.0,5.0,7.0,5.0,8.0,7.0,5.0,6.0,7.0,7.0,6.0,8.0,7.0,7.0,2.0,7.0,5.0,6.0,5.0,5.0,8.0,8.0,1.0,7.0,0
34r4pw1j,1.0,3.0,4.0,1.0,7.0,5.0,5.0,3.0,2.0,7.0,7.0,2.0,4.0,5.0,7.0,5.0,2.0,1.0,5.0,6.0,3.0,3.0,4.0,6.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,5.0,6.0,7.0,1.0,6.0,6.0,7.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,5.0,6.0,7.0,1.0,6.0,6.0,7.0,0
47md22x3,3.0,4.0,1.0,4.0,7.0,1.0,2.0,7.0,4.0,5.0,6.0,5.0,3.0,1.0,7.0,3.0,7.0,2.0,5.0,4.0,4.0,2.0,4.0,7.0,5.0,5.0,4.0,6.0,7.0,5.0,2.0,5.0,5.0,6.0,1.0,7.0,3.0,1.0,7.0,6.0,7.0,7.0,5.0,5.0,7.0,3.0,6.0,7.0,5.0,5.0,4.0,6.0,8.0,5.0,8.0,5.0,5.0,6.0,1.0,7.0,8.0,8.0,8.0,6.0,8.0,7.0,8.0,5.0,7.0,3.0,6.0,7.0,0
4v4z3lhv,3.0,4.0,1.0,7.0,6.0,6.0,1.0,1.0,2.0,2.0,1.0,5.0,3.0,3.0,2.0,6.0,2.0,6.0,1.0,5.0,7.0,1.0,2.0,7.0,6.0,5.0,6.0,6.0,6.0,1.0,5.0,1.0,4.0,5.0,6.0,5.0,4.0,7.0,6.0,6.0,6.0,5.0,4.0,5.0,7.0,5.0,5.0,1.0,6.0,5.0,6.0,6.0,6.0,1.0,5.0,1.0,4.0,5.0,6.0,5.0,4.0,7.0,6.0,6.0,6.0,5.0,4.0,5.0,8.0,5.0,5.0,1.0,0
