code,secret_number_R1,secret_number_R2,secret_number_R3,secret_number_R4,secret_number_R5,secret_number_R6,secret_number_R7,secret_number_R8,secret_number_R9,secret_number_R10,secret_number_R11,secret_number_R12,secret_number_R13,secret_number_R14,secret_number_R15,secret_number_R16,secret_number_R17,secret_number_R18,secret_number_R19,secret_number_R20,secret_number_R21,secret_number_R22,secret_number_R23,secret_number_R24,sender_message_R1,sender_message_R2,sender_message_R3,sender_message_R4,sender_message_R5,sender_message_R6,sender_message_R7,sender_message_R8,sender_message_R9,sender_message_R10,sender_message_R11,sender_message_R12,sender_message_R13,sender_message_R14,sender_message_R15,sender_message_R16,sender_message_R17,sender_message_R18,sender_message_R19,sender_message_R20,sender_message_R21,sender_message_R22,sender_message_R23,sender_message_R24,sender_choice_R1,sender_choice_R2,sender_choice_R3,sender_choice_R4,sender_choice_R5,sender_choice_R6,sender_choice_R7,sender_choice_R8,sender_choice_R9,sender_choice_R10,sender_choice_R11,sender_choice_R12,sender_choice_R13,sender_choice_R14,sender_choice_R15,sender_choice_R16,sender_choice_R17,sender_choice_R18,sender_choice_R19,sender_choice_R20,sender_choice_R21,sender_choice_R22,sender_choice_R23,sender_choice_R24,X_R1,X_R2,X_R3,X_R4,X_R5,X_R6,X_R7,X_R8,X_R9,X_R10,X_R11,X_R12,X_R13,X_R14,X_R15,X_R16,X_R17,X_R18,X_R19,X_R20,X_R21,X_R22,X_R23,X_R24,used
0o3i7azq,4,6,3,7,5,4,6,7,4,3,1,7,7,1,7,2,2,2,7,1,6,5,1,1,4,6,5,7,5,4,3,7,4,3,6,7,7,7,7,5,5,7,7,6,6,5,1,7,4,6,5,7,8,8,8,7,8,3,8,8,7,7,7,5,5,8,7,6,6,5,8,7,0,4,0,1,3,1,0,3,1,3,1,2,0,0,3,3,1,1,4,0,2,4,4,2,0
11mnwgcp,1,5,1,4,1,5,2,5,6,4,5,4,7,1,1,4,7,3,3,1,4,2,1,1,1,6,5,6,4,5,7,5,2,4,5,4,5,1,4,2,7,3,6,1,4,2,1,1,1,6,5,6,4,5,7,5,2,4,5,4,8,8,4,8,7,3,6,8,8,2,8,1,1,1,1,0,0,4,1,1,2,4,3,2,0,4,1,1,0,3,2,2,1,1,3,4,0
1bkpchhx,6,4,7,2,5,1,5,2,6,7,7,4,7,5,5,2,4,6,5,1,6,3,6,1,6,4,6,6,5,7,5,2,6,7,7,6,7,7,5,6,6,6,5,7,6,6,7,6,6,4,6,8,8,8,5,8,6,8,7,6,7,8,5,6,6,6,5,7,6,8,8,6,2,1,1,0,4,1,0,1,4,1,4,0,3,0,4,1,0,4,3,0,0,1,1,3,0
2jzdyg32,4,3,1,6,6,3,2,1,3,2,6,1,4,5,7,5,4,5,7,4,1,1,3,4,2,3,3,6,5,3,2,3,3,6,6,4,5,3,7,3,5,5,7,3,1,6,7,4,2,3,3,6,8,8,8,3,8,6,6,4,5,3,7,3,8,8,7,3,8,6,8,8,1,2,1,1,1,4,4,0,4,1,1,1,1,2,4,1,1,2,1,2,2,0,0,3,0
2s39va6n,7,6,2,6,5,2,5,7,4,5,7,1,3,3,3,5,2,6,1,6,3,5,5,2,6,6,6,6,6,7,5,7,6,6,7,6,3,7,6,6,2,6,6,6,6,7,5,6,6,6,6,8,8,7,5,7,8,6,7,6,8,7,6,6,8,6,6,6,6,8,5,6,0,0,0,4,1,1,0,3,1,0,2,1,4,0,1,0,2,3,0,1,3,0,3,0,0
2w83f53x,6,1,3,4,2,4,4,7,6,2,2,7,4,4,2,7,2,2,7,7,7,1,5,7,6,1,3,4,4,1,5,7,6,2,6,7,4,5,2,1,6,7,7,7,7,7,5,7,6,1,3,8,4,8,5,7,6,2,6,7,8,5,8,8,6,7,7,7,7,7,5,7,0,3,4,2,1,0,0,1,2,1,0,0,4,0,2,2,1,0,4,1,2,0,3,1,0
32ch5583,2,6,7,5,6,7,5,6,4,7,5,2,7,1,2,4,5,6,5,6,6,4,1,7,2,5,7,5,3,7,5,6,7,7,6,2,7,7,2,7,5,6,5,5,6,6,1,7,8,5,7,5,8,7,5,6,7,7,6,8,7,7,2,7,5,6,5,5,8,8,1,7,2,0,0,3,1,4,4,2,1,4,1,1,3,0,3,0,2,4,4,2,4,1,2,4,0
34r4pw1j,5,5,7,6,7,4,5,7,3,1,6,4,5,6,6,7,6,6,7,7,3,6,6,5,5,6,6,6,7,7,7,7,7,7,6,7,6,6,6,7,6,5,6,7,1,6,6,7,5,6,6,6,7,7,7,7,7,8,6,7,6,6,6,7,6,5,6,7,1,6,6,7,4,1,1,4,4,1,1,3,2,1,2,0,0,3,1,4,3,0,3,1,0,4,3,3,0
47md22x3,7,5,4,6,7,5,2,5,5,6,1,5,3,1,7,2,5,7,6,5,7,3,1,7,5,5,4,6,7,5,2,5,5,6,1,7,3,1,7,6,7,7,5,5,7,3,6,7,5,5,4,6,8,5,8,5,5,6,1,7,8,8,8,6,8,7,8,5,7,3,6,7,1,1,1,2,2,2,1,3,3,3,3,3,4,4,4,0,1,3,0,3,4,4,1,1,0
4v4z3lhv,6,1,7,7,2,1,4,3,4,5,1,5,4,7,4,6,2,2,4,3,2,5,3,1,6,5,6,6,6,1,5,1,4,5,6,5,4,7,6,6,6,5,4,5,7,5,5,1,6,5,6,6,6,1,5,1,4,5,6,5,4,7,6,6,6,5,4,5,8,5,5,1,4,0,1,0,0,4,0,1,1,3,1,2,2,2,2,2,1,2,1,0,1,1,0,2,0
