number,encoding
1,((5 &times; 9) / 3) &minus; 14
2,((5 &times; 5) / 5) &minus; 3
3,((2 &times; 3) / 6) + 2
4,((31 &times; 1) &minus; 19) / 3
5,((4 &times; 9) / 12) + 2
6,((5 &times; 44) / 10) &minus; 16
7,((6 &times; 12) &minus; 16) / 8

1,(8 + 2) &times; (14 &minus; 12)/20
2,((3 &times; 3) / 9) + 1
3,(1 + 2) &times; (19 &minus; 8)/11
4,((2 &times; 4) / 8) + 3
5,((5 &times; 38) / 10) &minus; 14
6,((12 &times; 3) / 4) &minus; 3
7,((2 &times; 23) &minus; 11) / 5

1,(1 + 4) &times; (6 &minus; 2)/20
2,((3 &times; 48) / 8) &minus; 16
3,(9 + 7) &times; (4 &minus; 1)/16
4,(1 + 8) &times; (5 &minus; 1)/9
5,((5 &times; 7) / 5) &minus; 2
6,(10 + 4) &times; (4 &minus; 1)/7
7,((3 &times; 12) &minus; 8) / 4

1,((4 &times; 5) &minus; 13) / 7
2,(4 + 3) &times; (15 &minus; 7)/28
3,(5 + 7) &times; (5 &minus; 3)/8
4,((3 &times; 8) / 12) + 2
5,(6 + 1) &times; (6 &minus; 1)/7
6,((3 &times; 22) &minus; 6) / 10
7,(2 + 6) &times; (8 &minus; 1)/8

1,((3 &times; 7) &minus; 14) / 7
2,((2 &times; 2) / 4) + 1
3,((23 &times; 1) &minus; 17) / 2
4,((2 &times; 17) &minus; 10) / 6
5,((2 &times; 4) / 8) + 4
6,((4 &times; 14) &minus; 14) / 7
7,((3 &times; 22) &minus; 10) / 8

1,((11 &times; 2) / 11) &minus; 1
2,(3 + 5) &times; (10 &minus; 3)/28
3,((3 &times; 15) / 3) &minus; 12
4,(10 + 1) &times; (5 &minus; 1)/11
5,(5 + 1) &times; (6 &minus; 1)/6
6,((2 &times; 12) / 12) + 4
7,((4 &times; 7) / 2) &minus; 7

1,((2 &times; 6) &minus; 10) / 2
2,((3 &times; 3) / 9) + 1
3,((3 &times; 1) / 3) + 2
4,(9 + 6) &times; (5 &minus; 1)/15
5,((3 &times; 9) / 3) &minus; 4
6,((61 &times; 1) &minus; 1) / 10
7,((8 &times; 18) / 12) &minus; 5

1,((2 &times; 4) / 8) + 0
2,((4 &times; 12) / 4) &minus; 10
3,((29 &times; 1) &minus; 2) / 9
4,((2 &times; 38) / 4) &minus; 15
5,((3 &times; 6) &minus; 3) / 3
6,((3 &times; 39) / 9) &minus; 7
7,(9 + 7) &times; (8 &minus; 1)/16

1,((3 &times; 7) &minus; 13) / 8
2,((4 &times; 8) / 8) &minus; 2
3,(5 + 10) &times; (14 &minus; 4)/50
4,((41 &times; 1) &minus; 9) / 8
5,((2 &times; 21) / 2) &minus; 16
6,((2 &times; 37) &minus; 20) / 9
7,((5 &times; 23) / 5) &minus; 16

1,(8 + 5) &times; (8 &minus; 3)/65
2,((3 &times; 5) &minus; 7) / 4
3,((2 &times; 6) / 6) + 1
4,(10 + 9) &times; (5 &minus; 1)/19
5,((4 &times; 8) &minus; 17) / 3
6,((2 &times; 25) &minus; 8) / 7
7,((2 &times; 14) / 2) &minus; 7

1,((23 &times; 1) &minus; 17) / 6
2,((5 &times; 1) / 5) + 1
3,((2 &times; 10) / 10) + 1
4,(6 + 9) &times; (5 &minus; 1)/15
5,((2 &times; 4) / 2) + 1
6,((4 &times; 17) / 4) &minus; 11
7,(4 + 7) &times; (8 &minus; 1)/11

1,(7 + 9) &times; (6 &minus; 1)/80
2,((2 &times; 13) &minus; 10) / 8
3,(7 + 3) &times; (4 &minus; 1)/10
4,((3 &times; 22) / 11) &minus; 2
5,((2 &times; 64) / 8) &minus; 11
6,((5 &times; 11) / 11) + 1
7,(5 + 7) &times; (8 &minus; 1)/12

1,((2 &times; 18) / 9) &minus; 3
2,((3 &times; 3) / 9) + 1
3,(10 + 5) &times; (13 &minus; 8)/25
4,((8 &times; 9) / 4) &minus; 14
5,(1 + 5) &times; (6 &minus; 1)/6
6,((4 &times; 9) / 12) + 3
7,(6 + 6) &times; (8 &minus; 1)/12

1,((2 &times; 11) &minus; 18) / 4
2,((3 &times; 7) &minus; 7) / 7
3,((5 &times; 11) / 5) &minus; 8
4,((19 &times; 1) &minus; 11) / 2
5,((4 &times; 10) / 2) &minus; 15
6,(4 + 5) &times; (3 &minus; 1)/3
7,(6 + 10) &times; (8 &minus; 1)/16

1,(6 + 10) &times; (6 &minus; 4)/32
2,((11 &times; 11) / 11) &minus; 9
3,((8 &times; 21) / 12) &minus; 11
4,((3 &times; 9) &minus; 19) / 2
5,((11 &times; 12) / 12) &minus; 6
6,((3 &times; 19) &minus; 9) / 8
7,((37 &times; 1) &minus; 2) / 5

1,(10 + 10) &times; (4 &minus; 2)/40
2,((2 &times; 81) / 9) &minus; 16
3,((2 &times; 57) / 6) &minus; 16
4,((5 &times; 5) &minus; 1) / 6
5,((2 &times; 42) / 12) &minus; 2
6,((2 &times; 3) / 2) + 3
7,((3 &times; 1) / 3) + 6

1,((2 &times; 13) &minus; 18) / 8
2,((3 &times; 6) &minus; 12) / 3
3,((6 &times; 6) &minus; 9) / 9
4,(1 + 6) &times; (5 &minus; 1)/7
5,((37 &times; 1) &minus; 17) / 4
6,(3 + 9) &times; (14 &minus; 8)/12
7,((3 &times; 32) / 6) &minus; 9

1,((2 &times; 11) &minus; 12) / 10
2,(4 + 7) &times; (3 &minus; 1)/11
3,((2 &times; 17) &minus; 16) / 6
4,(7 + 9) &times; (4 &minus; 2)/8
5,(8 + 10) &times; (6 &minus; 1)/18
6,((6 &times; 11) &minus; 18) / 8
7,((6 &times; 36) / 12) &minus; 11

1,((3 &times; 1) &minus; 1) / 2
2,((7 &times; 1) / 7) + 1
3,(9 + 6) &times; (4 &minus; 1)/15
4,((3 &times; 20) / 5) &minus; 8
5,((2 &times; 45) / 10) &minus; 4
6,((5 &times; 7) / 7) + 1
