participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.treatment,player.decoding_answer,player.task_number,player.correct_answers,player.secret_number,player.sender_choice,player.sender_message,player.x_count,player.bundle_secret_numbers_json,player.bundle_receiver_scores_json,player.bundle_receiver_average_score,player.sender_message_encoded,player.sender_code,player.receiver_guess,player.tutorial_message,player.tutorial_x_count,player.tutorial_message_encoded,player.math_solution,player.sender_win_prob,player.receiver_win_prob,player.sender_wins,player.receiver_wins,player.honesty_rate,player.credulity_rate,player.guess_confirmed,player.wrong_answer,player.wrong_answer_count,player.Q_task,player.Q_task_count,player.Q_payoff,player.Q_payoff_count,player.Q_message_origin,player.Q_message_origin_count,player.Q_fixbelief_understanding,player.Q_fixbelief_understanding_count,player.Q_nouncertainty_understanding,player.Q_nouncertainty_understanding_count,player.Q_payoff_other,player.Q_payoff_other_count,player.Q_independence,player.Q_independence_count,player.Q_secret_number_generation,player.Q_secret_number_generation_count,player.Q_no_knowledge_guess,player.Q_no_knowledge_guess_count,player.is_sender_payoff_relevant,player.is_receiver_payoff_relevant,player.belief_honest_pct,player.honesty_guess,player.honesty_certainty,player.credulity_guess,player.credulity_certainty,player.strategy_explanation,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,s39fq05g,1,1,655,654,survey,Redirect,2026-04-08 20:12:31.519982,1,,,41000.0,1,,0.0,NoUncertainty,,1,0,2,0,0,0,"[4, 4, 2, 2]",[],0.0,El Jugador A no envió un número,ejekyhc7,4.0,6,2,6,0,0.0,0.0,0,0,0.0,0.0,1,0,0,Adivinar el número secreto,0,Adivinando el número secreto lo más precisamente posible,0,Fueron escritos por participantes del Jugador A que participaron en un experimento anterior,0,na,0,"Mi única adivinanza se compara con los 4 números secretos de los 4 Jugadores A del grupo, y mi desempeño en la ronda se calcula como el promedio de esas 4 comparaciones",0,Haciendo que adivines lo más alto posible,0,"Cualquier número es igualmente probable, independientemente de las rondas anteriores",0,Lo genera aleatoriamente el computador,0,Adivinar 4 (el promedio de todos los números posibles),0,0,1,0,,,,,,1,1,ijtksv4p,,,,,1
2,z4pock9s,1,1,655,654,survey,Redirect,2026-04-08 20:12:35.362697,1,,,49000.0,2,,4000.0,NoUncertainty,,1,0,5,5,5,2,"[5, 5, 7, 2]","[0.9722222222222222, 0.9722222222222222, 0.75, 0.8888888888888888]",0.8958333333333333,5,re4laue2,4.0,6,2,6,0,0.5,0.8958333333333333,1,1,0.0,0.0,1,0,0,Adivinar el número secreto,0,Adivinando el número secreto lo más precisamente posible,0,Fueron escritos por participantes del Jugador A que participaron en un experimento anterior,0,na,0,"Mi única adivinanza se compara con los 4 números secretos de los 4 Jugadores A del grupo, y mi desempeño en la ronda se calcula como el promedio de esas 4 comparaciones",0,Haciendo que adivines lo más alto posible,0,"Cualquier número es igualmente probable, independientemente de las rondas anteriores",0,Lo genera aleatoriamente el computador,0,Adivinar 4 (el promedio de todos los números posibles),0,0,1,0,,,,,,1,1,ijtksv4p,,,,,1
3,lrklrovy,1,1,655,654,survey,Redirect,2026-04-08 20:12:38.290596,1,,,42000.0,3,,0.0,NoUncertainty,,1,0,2,8,1,3,"[1, 1, 1, 2]","[0.75, 0.75, 0.75, 0.8888888888888888]",0.7847222222222222,1,901lc5i2,4.0,6,2,6,0,0.5,0.7847222222222222,1,0,0.0,0.0,1,0,0,Adivinar el número secreto,0,Adivinando el número secreto lo más precisamente posible,0,Fueron escritos por participantes del Jugador A que participaron en un experimento anterior,0,na,0,"Mi única adivinanza se compara con los 4 números secretos de los 4 Jugadores A del grupo, y mi desempeño en la ronda se calcula como el promedio de esas 4 comparaciones",0,Haciendo que adivines lo más alto posible,0,"Cualquier número es igualmente probable, independientemente de las rondas anteriores",0,Lo genera aleatoriamente el computador,0,Adivinar 4 (el promedio de todos los números posibles),0,0,1,0,,,,,,1,1,ijtksv4p,,,,,1
4,suiny1ys,1,1,655,654,survey,Redirect,2026-04-08 20:12:41.451689,1,,,46000.0,4,,4000.0,NoUncertainty,,1,0,4,8,5,2,"[5, 5, 4, 5]","[0.9722222222222222, 0.9722222222222222, 1.0, 0.9722222222222222]",0.9791666666666666,5,i00e409l,4.0,6,2,6,0,0.5,0.9791666666666666,0,1,0.0,0.0,1,0,0,Adivinar el número secreto,0,Adivinando el número secreto lo más precisamente posible,0,Fueron escritos por participantes del Jugador A que participaron en un experimento anterior,0,na,0,"Mi única adivinanza se compara con los 4 números secretos de los 4 Jugadores A del grupo, y mi desempeño en la ronda se calcula como el promedio de esas 4 comparaciones",0,Haciendo que adivines lo más alto posible,0,"Cualquier número es igualmente probable, independientemente de las rondas anteriores",0,Lo genera aleatoriamente el computador,0,Adivinar 4 (el promedio de todos los números posibles),0,0,1,0,,,,,,1,1,ijtksv4p,,,,,1
5,dm3u9zgz,1,1,655,654,survey,Redirect,2026-04-08 20:12:55.041431,1,,,50000.0,5,,4000.0,NoUncertainty,,1,0,4,5,5,1,"[5, 5, 4, 4]","[0.9722222222222222, 0.9722222222222222, 1.0, 1.0]",0.9861111111111112,5,7zbsph3d,4.0,6,2,6,0,0.5,0.9861111111111112,1,1,0.0,0.0,1,0,0,Adivinar el número secreto,0,Adivinando el número secreto lo más precisamente posible,0,Fueron escritos por participantes del Jugador A que participaron en un experimento anterior,0,na,0,"Mi única adivinanza se compara con los 4 números secretos de los 4 Jugadores A del grupo, y mi desempeño en la ronda se calcula como el promedio de esas 4 comparaciones",0,Haciendo que adivines lo más alto posible,0,"Cualquier número es igualmente probable, independientemente de las rondas anteriores",0,Lo genera aleatoriamente el computador,0,Adivinar 4 (el promedio de todos los números posibles),0,0,1,0,,,,,,1,1,ijtksv4p,,,,,1
6,mdezafla,1,1,655,654,survey,Redirect,2026-04-08 20:12:58.518866,1,,,50000.0,6,,4000.0,NoUncertainty,,1,0,4,4,4,4,"[4, 4, 4, 4]","[1.0, 1.0, 1.0, 1.0]",1.0,4,ur9vtr5u,4.0,6,2,6,0,0.5,1.0,0,1,0.0,0.0,1,0,0,Adivinar el número secreto,0,Adivinando el número secreto lo más precisamente posible,0,Fueron escritos por participantes del Jugador A que participaron en un experimento anterior,0,na,0,"Mi única adivinanza se compara con los 4 números secretos de los 4 Jugadores A del grupo, y mi desempeño en la ronda se calcula como el promedio de esas 4 comparaciones",0,Haciendo que adivines lo más alto posible,0,"Cualquier número es igualmente probable, independientemente de las rondas anteriores",0,Lo genera aleatoriamente el computador,0,Adivinar 4 (el promedio de todos los números posibles),0,0,1,0,,,,,,1,1,ijtksv4p,,,,,1
7,8r52a6nf,1,1,655,654,survey,Redirect,2026-04-08 20:13:08.125815,1,,,42000.0,7,,4000.0,NoUncertainty,,1,0,4,4,4,2,"[4, 4, 4, 2]","[1.0, 1.0, 1.0, 0.8888888888888888]",0.9722222222222222,4,5r1bqnb3,4.0,6,2,6,0,0.5,0.9722222222222222,0,1,0.0,0.0,1,0,0,Adivinar el número secreto,0,Adivinando el número secreto lo más precisamente posible,0,Fueron escritos por participantes del Jugador A que participaron en un experimento anterior,0,na,0,"Mi única adivinanza se compara con los 4 números secretos de los 4 Jugadores A del grupo, y mi desempeño en la ronda se calcula como el promedio de esas 4 comparaciones",0,Haciendo que adivines lo más alto posible,0,"Cualquier número es igualmente probable, independientemente de las rondas anteriores",0,Lo genera aleatoriamente el computador,0,Adivinar 4 (el promedio de todos los números posibles),0,0,1,0,,,,,,1,1,ijtksv4p,,,,,1
8,pzqvybb6,1,1,655,654,survey,Redirect,2026-04-08 20:13:12.516264,1,,,49000.0,8,,4000.0,NoUncertainty,,1,0,1,4,4,0,"[1, 2, 2, 7]","[0.75, 0.8888888888888888, 0.8888888888888888, 0.75]",0.8194444444444444,4,g9yzp9x1,4.0,6,2,6,0,0.5,0.8194444444444444,0,1,0.0,0.0,1,0,0,Adivinar el número secreto,0,Adivinando el número secreto lo más precisamente posible,0,Fueron escritos por participantes del Jugador A que participaron en un experimento anterior,0,na,0,"Mi única adivinanza se compara con los 4 números secretos de los 4 Jugadores A del grupo, y mi desempeño en la ronda se calcula como el promedio de esas 4 comparaciones",0,Haciendo que adivines lo más alto posible,0,"Cualquier número es igualmente probable, independientemente de las rondas anteriores",0,Lo genera aleatoriamente el computador,0,Adivinar 4 (el promedio de todos los números posibles),0,0,1,0,,,,,,1,1,ijtksv4p,,,,,1
9,qh3in75n,1,1,655,654,survey,Redirect,2026-04-08 20:13:19.901344,1,,,37000.0,9,,4000.0,NoUncertainty,,1,0,3,3,3,3,"[3, 3, 3, 3]","[0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222]",0.9722222222222222,3,jvopp27d,4.0,6,2,6,0,0.5,0.9722222222222222,0,1,0.0,0.0,1,0,0,Adivinar el número secreto,0,Adivinando el número secreto lo más precisamente posible,0,Fueron escritos por participantes del Jugador A que participaron en un experimento anterior,0,na,0,"Mi única adivinanza se compara con los 4 números secretos de los 4 Jugadores A del grupo, y mi desempeño en la ronda se calcula como el promedio de esas 4 comparaciones",0,Haciendo que adivines lo más alto posible,0,"Cualquier número es igualmente probable, independientemente de las rondas anteriores",0,Lo genera aleatoriamente el computador,0,Adivinar 4 (el promedio de todos los números posibles),0,0,1,0,,,,,,1,1,ijtksv4p,,,,,1
10,xgv6i8eg,1,1,655,654,survey,Redirect,2026-04-08 20:13:26.700976,1,,,42000.0,10,,4000.0,NoUncertainty,,1,0,1,5,5,1,"[5, 7, 1, 1]","[0.9722222222222222, 0.75, 0.75, 0.75]",0.8055555555555556,5,vqb2qgpb,4.0,6,2,6,0,0.5,0.8055555555555556,0,1,0.0,0.0,1,0,0,Adivinar el número secreto,0,Adivinando el número secreto lo más precisamente posible,0,Fueron escritos por participantes del Jugador A que participaron en un experimento anterior,0,na,0,"Mi única adivinanza se compara con los 4 números secretos de los 4 Jugadores A del grupo, y mi desempeño en la ronda se calcula como el promedio de esas 4 comparaciones",0,Haciendo que adivines lo más alto posible,0,"Cualquier número es igualmente probable, independientemente de las rondas anteriores",0,Lo genera aleatoriamente el computador,0,Adivinar 4 (el promedio de todos los números posibles),0,0,1,0,,,,,,1,1,ijtksv4p,,,,,1
