participant.code,participant.label,treatment,llm_output_mode,explanation_empty,selected_rounds,participant_guesses_sample,llm_predictions_sample,predicted_beliefs_sample,round_matches_sample,matches_count,bonus_probability,bonus_draw_u,won_bonus_rule,score,won_bonus,status
s39fq05g,1,NoUncertainty,predict_guess_directly,0,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[3.0, 3.0, 6.0, 7.0, 3.0, 7.0, 4.0, 7.0, 5.0, 2.0]",,"[1, 1, 0, 0, 1, 0, 1, 0, 1, 0]",5,0.5,0.096586,won_if_bonus_draw_u_lt_bonus_probability,50.0,1,ok
z4pock9s,1,NoUncertainty,predict_guess_directly,0,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[5.0, 5.0, 3.0, 4.0, 6.0, 1.0, 3.0, 6.0, 2.0, 6.0]",,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 0]",5,0.5,0.824178,won_if_bonus_draw_u_lt_bonus_probability,50.0,0,ok
lrklrovy,1,NoUncertainty,predict_guess_directly,0,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[6.0, 5.0, 2.0, 6.0, 3.0, 1.0, 7.0, 7.0, 5.0, 7.0]",,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",3,0.3,0.784087,won_if_bonus_draw_u_lt_bonus_probability,30.0,0,ok
suiny1ys,1,NoUncertainty,predict_guess_directly,0,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[7.0, 5.0, 7.0, 4.0, 6.0, 7.0, 6.0, 2.0, 3.0, 4.0]",,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1]",4,0.4,0.265475,won_if_bonus_draw_u_lt_bonus_probability,40.0,1,ok
dm3u9zgz,1,NoUncertainty,predict_guess_directly,0,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[6.0, 2.0, 7.0, 6.0, 6.0, 4.0, 5.0, 4.0, 6.0, 5.0]",,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",4,0.4,0.403093,won_if_bonus_draw_u_lt_bonus_probability,40.0,0,ok
mdezafla,1,NoUncertainty,predict_guess_directly,0,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[7.0, 5.0, 4.0, 7.0, 2.0, 7.0, 7.0, 2.0, 7.0, 7.0]",,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",2,0.2,0.596126,won_if_bonus_draw_u_lt_bonus_probability,20.0,0,ok
8r52a6nf,1,NoUncertainty,predict_guess_directly,0,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[7.0, 5.0, 6.0, 7.0, 4.0, 2.0, 5.0, 6.0, 5.0, 4.0]",,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 1]",5,0.5,0.258239,won_if_bonus_draw_u_lt_bonus_probability,50.0,1,ok
pzqvybb6,1,NoUncertainty,predict_guess_directly,0,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[6.0, 5.0, 4.0, 5.0, 6.0, 3.0, 6.0, 7.0, 6.0, 7.0]",,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 0]",4,0.4,0.824239,won_if_bonus_draw_u_lt_bonus_probability,40.0,0,ok
qh3in75n,1,NoUncertainty,predict_guess_directly,0,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[6.0, 3.0, 6.0, 5.0, 7.0, 5.0, 5.0, 5.0, 5.0, 7.0]",,"[0, 1, 0, 1, 0, 1, 1, 1, 1, 0]",6,0.6,0.095659,won_if_bonus_draw_u_lt_bonus_probability,60.0,1,ok
xgv6i8eg,1,NoUncertainty,predict_guess_directly,0,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[3.0, 6.0, 5.0, 5.0, 6.0, 6.0, 6.0, 7.0, 6.0, 5.0]",,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1]",4,0.4,0.452537,won_if_bonus_draw_u_lt_bonus_probability,40.0,0,ok
