session_code,participant_code,selected_rounds,prompt_round_payload,llm_predictions
r6fnu2ss,aih6vigb,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[{""round"": 2, ""sender_message_encoded"": ""6""}, {""round"": 4, ""sender_message_encoded"": ""7""}, {""round"": 5, ""sender_message_encoded"": ""6""}, {""round"": 6, ""sender_message_encoded"": ""5""}, {""round"": 12, ""sender_message_encoded"": ""4""}, {""round"": 13, ""sender_message_encoded"": ""6""}, {""round"": 15, ""sender_message_encoded"": ""2""}, {""round"": 18, ""sender_message_encoded"": ""6""}, {""round"": 22, ""sender_message_encoded"": ""2""}, {""round"": 23, ""sender_message_encoded"": ""4""}]","{""2"": 6.0, ""4"": 7.0, ""5"": 6.0, ""6"": 5.0, ""12"": 4.0, ""13"": 6.0, ""15"": 2.0, ""18"": 6.0, ""22"": 2.0, ""23"": 4.0}"
r6fnu2ss,lkm0acgc,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[{""round"": 2, ""sender_message_encoded"": ""6""}, {""round"": 4, ""sender_message_encoded"": ""4""}, {""round"": 5, ""sender_message_encoded"": ""6""}, {""round"": 6, ""sender_message_encoded"": ""4""}, {""round"": 12, ""sender_message_encoded"": ""4""}, {""round"": 13, ""sender_message_encoded"": ""3""}, {""round"": 15, ""sender_message_encoded"": ""5""}, {""round"": 18, ""sender_message_encoded"": ""6""}, {""round"": 22, ""sender_message_encoded"": ""6""}, {""round"": 23, ""sender_message_encoded"": ""6""}]","{""2"": 6.0, ""4"": 4.0, ""5"": 6.0, ""6"": 4.0, ""12"": 4.0, ""13"": 3.0, ""15"": 5.0, ""18"": 6.0, ""22"": 6.0, ""23"": 6.0}"
r6fnu2ss,pw4trmjs,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[{""round"": 2, ""sender_message_encoded"": ""7""}, {""round"": 4, ""sender_message_encoded"": ""7""}, {""round"": 5, ""sender_message_encoded"": ""4""}, {""round"": 6, ""sender_message_encoded"": ""6""}, {""round"": 12, ""sender_message_encoded"": ""5""}, {""round"": 13, ""sender_message_encoded"": ""1""}, {""round"": 15, ""sender_message_encoded"": ""7""}, {""round"": 18, ""sender_message_encoded"": ""2""}, {""round"": 22, ""sender_message_encoded"": ""7""}, {""round"": 23, ""sender_message_encoded"": ""2""}]","{""2"": 7.0, ""4"": 7.0, ""5"": 4.0, ""6"": 6.0, ""12"": 5.0, ""13"": 1.0, ""15"": 7.0, ""18"": 2.0, ""22"": 7.0, ""23"": 2.0}"
r6fnu2ss,uxedcf11,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[{""round"": 2, ""sender_message_encoded"": ""7""}, {""round"": 4, ""sender_message_encoded"": ""4""}, {""round"": 5, ""sender_message_encoded"": ""4""}, {""round"": 6, ""sender_message_encoded"": ""1""}, {""round"": 12, ""sender_message_encoded"": ""5""}, {""round"": 13, ""sender_message_encoded"": ""1""}, {""round"": 15, ""sender_message_encoded"": ""3""}, {""round"": 18, ""sender_message_encoded"": ""2""}, {""round"": 22, ""sender_message_encoded"": ""5""}, {""round"": 23, ""sender_message_encoded"": ""4""}]","{""2"": 7.0, ""4"": 4.0, ""5"": 4.0, ""6"": 1.0, ""12"": 5.0, ""13"": 1.0, ""15"": 3.0, ""18"": 2.0, ""22"": 5.0, ""23"": 4.0}"
r6fnu2ss,j71ms0hl,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[{""round"": 2, ""sender_message_encoded"": ""4""}, {""round"": 4, ""sender_message_encoded"": ""6""}, {""round"": 5, ""sender_message_encoded"": ""2""}, {""round"": 6, ""sender_message_encoded"": ""2""}, {""round"": 12, ""sender_message_encoded"": ""5""}, {""round"": 13, ""sender_message_encoded"": ""6""}, {""round"": 15, ""sender_message_encoded"": ""6""}, {""round"": 18, ""sender_message_encoded"": ""6""}, {""round"": 22, ""sender_message_encoded"": ""2""}, {""round"": 23, ""sender_message_encoded"": ""1""}]","{""2"": 4.0, ""4"": 6.0, ""5"": 2.0, ""6"": 2.0, ""12"": 5.0, ""13"": 6.0, ""15"": 6.0, ""18"": 6.0, ""22"": 2.0, ""23"": 1.0}"
r6fnu2ss,w5pudjp7,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[{""round"": 2, ""sender_message_encoded"": ""5""}, {""round"": 4, ""sender_message_encoded"": ""5""}, {""round"": 5, ""sender_message_encoded"": ""3""}, {""round"": 6, ""sender_message_encoded"": ""7""}, {""round"": 12, ""sender_message_encoded"": ""2""}, {""round"": 13, ""sender_message_encoded"": ""7""}, {""round"": 15, ""sender_message_encoded"": ""2""}, {""round"": 18, ""sender_message_encoded"": ""6""}, {""round"": 22, ""sender_message_encoded"": ""6""}, {""round"": 23, ""sender_message_encoded"": ""1""}]","{""2"": 5.0, ""4"": 5.0, ""5"": 3.0, ""6"": 7.0, ""12"": 2.0, ""13"": 7.0, ""15"": 2.0, ""18"": 6.0, ""22"": 6.0, ""23"": 1.0}"
r6fnu2ss,epfy7e30,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[{""round"": 2, ""sender_message_encoded"": ""7""}, {""round"": 4, ""sender_message_encoded"": ""4""}, {""round"": 5, ""sender_message_encoded"": ""4""}, {""round"": 6, ""sender_message_encoded"": ""3""}, {""round"": 12, ""sender_message_encoded"": ""2""}, {""round"": 13, ""sender_message_encoded"": ""7""}, {""round"": 15, ""sender_message_encoded"": ""4""}, {""round"": 18, ""sender_message_encoded"": ""7""}, {""round"": 22, ""sender_message_encoded"": ""6""}, {""round"": 23, ""sender_message_encoded"": ""6""}]","{""2"": 7.0, ""4"": 4.0, ""5"": 4.0, ""6"": 3.0, ""12"": 2.0, ""13"": 7.0, ""15"": 4.0, ""18"": 7.0, ""22"": 6.0, ""23"": 6.0}"
r6fnu2ss,lcpoawza,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[{""round"": 2, ""sender_message_encoded"": ""6""}, {""round"": 4, ""sender_message_encoded"": ""4""}, {""round"": 5, ""sender_message_encoded"": ""6""}, {""round"": 6, ""sender_message_encoded"": ""6""}, {""round"": 12, ""sender_message_encoded"": ""6""}, {""round"": 13, ""sender_message_encoded"": ""3""}, {""round"": 15, ""sender_message_encoded"": ""6""}, {""round"": 18, ""sender_message_encoded"": ""6""}, {""round"": 22, ""sender_message_encoded"": ""6""}, {""round"": 23, ""sender_message_encoded"": ""6""}]","{""2"": 6.0, ""4"": 4.0, ""5"": 6.0, ""6"": 6.0, ""12"": 6.0, ""13"": 3.0, ""15"": 6.0, ""18"": 6.0, ""22"": 6.0, ""23"": 6.0}"
r6fnu2ss,i63yjlqn,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[{""round"": 2, ""sender_message_encoded"": ""3""}, {""round"": 4, ""sender_message_encoded"": ""5""}, {""round"": 5, ""sender_message_encoded"": ""2""}, {""round"": 6, ""sender_message_encoded"": ""4""}, {""round"": 12, ""sender_message_encoded"": ""6""}, {""round"": 13, ""sender_message_encoded"": ""6""}, {""round"": 15, ""sender_message_encoded"": ""5""}, {""round"": 18, ""sender_message_encoded"": ""6""}, {""round"": 22, ""sender_message_encoded"": ""2""}, {""round"": 23, ""sender_message_encoded"": ""5""}]","{""2"": 3.0, ""4"": 5.0, ""5"": 2.0, ""6"": 4.0, ""12"": 6.0, ""13"": 6.0, ""15"": 5.0, ""18"": 6.0, ""22"": 2.0, ""23"": 5.0}"
r6fnu2ss,zzx9j8v4,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[{""round"": 2, ""sender_message_encoded"": ""6""}, {""round"": 4, ""sender_message_encoded"": ""6""}, {""round"": 5, ""sender_message_encoded"": ""4""}, {""round"": 6, ""sender_message_encoded"": ""5""}, {""round"": 12, ""sender_message_encoded"": ""4""}, {""round"": 13, ""sender_message_encoded"": ""5""}, {""round"": 15, ""sender_message_encoded"": ""4""}, {""round"": 18, ""sender_message_encoded"": ""3""}, {""round"": 22, ""sender_message_encoded"": ""2""}, {""round"": 23, ""sender_message_encoded"": ""1""}]","{""2"": 6.0, ""4"": 6.0, ""5"": 4.0, ""6"": 5.0, ""12"": 4.0, ""13"": 5.0, ""15"": 4.0, ""18"": 3.0, ""22"": 2.0, ""23"": 1.0}"
