id_in_session,code,payoff,id_in_group,role,player_payoff,pool,decoding_answer,receiver_type,is_sender_payoff_relevant,is_receiver_payoff_relevant,honesty_guess,credulity_guess,secret_number,sender_choice,sender_message,sender_message_encoded,receiver_guess,sender_win_prob,receiver_win_prob,sender_wins,receiver_wins,honesty_rate,credulity_rate,round_number,treatment,session_code,session,id,correct_answers,age,gender,gender_add,education,student,experiments,reasoning,chosen_role,pool_cluster,treatment2
1,zexljh6q,30000,1,Player A,0,1.0,,direct,0,1,,,2.0,5.0,5.0,5,5.0,0.666666666666667,0.75,1.0,1.0,,,1,Expert,plbxrp5a,1,1,2,22.0,1.0,,2.0,1.0,0.0,Intenté ser estratégica y variar de vez en cuando en los números.,1.0,11.0,Expert
2,nxjw53pf,25000,1,Player A,0,2.0,,direct,0,1,,,6.0,4.0,4.0,4,0.0,0.5,0.888888888888889,0.0,1.0,,,1,Expert,plbxrp5a,1,2,4,20.0,1.0,,2.0,1.0,1.0,Basado en lo que más era beneficioso para mí como jugador A.,2.0,12.0,Expert
3,my021v1b,38000,1,Player A,0,1.0,,direct,0,1,,,5.0,6.0,6.0,6,7.0,1.0,0.888888888888889,1.0,1.0,,,1,Expert,plbxrp5a,1,3,1,21.0,1.0,,2.0,1.0,1.0,"Razonar según las instrucciones dadas de forma que tomaba la decisión con la que más probablemente obtendría mayor beneficio, primero explora las opciones para ver como respondía el otro jugador, luego tras ver lo que no resultaba beneficioso, empecé a usar un patrón no tan evidente para que el otro jugador se diera cuenta que no era el número real, pero tampoco en el extremo inferior porque directamente me perjudicaría, dado que pude percibir que había jugadores que se daban cuenta cuando era muy evidente que el número no era real si era el extremo más alto, en cambio un poco abajo funcionaba mejor, según evidencié.",1.0,11.0,Expert
4,zwzk7ek4,16000,1,Player A,0,2.0,,direct,0,1,,,2.0,0.0,0.0,El Jugador A no envió un número,4.0,0.0,0.0,0.0,0.0,,,1,Expert,plbxrp5a,1,4,3,23.0,0.0,,3.0,1.0,0.0,Intentando mantener un equilibrio entre jugadores A y B con las respuestas,2.0,12.0,Expert
5,9c1m5668,14000,1,Player A,0,1.0,,direct,0,1,,,4.0,0.0,0.0,El Jugador A no envió un número,4.0,0.0,0.0,0.0,0.0,,,1,Expert,plbxrp5a,1,5,0,24.0,1.0,,2.0,1.0,0.0,"Fue difícil al comienzo, así que mientras entendía la dinámica o tenia una lógica para mi ponía al azar el numero, luego trataba de seleccionar uno cercano al anterior.",1.0,11.0,Expert
6,0terrdi1,37000,1,Player A,0,2.0,,direct,0,1,,,5.0,0.0,0.0,El Jugador A no envió un número,3.1,0.0,0.0,0.0,0.0,,,1,Expert,plbxrp5a,1,6,5,18.0,0.0,,2.0,1.0,1.0,"Teniendo en cuenta que ganara más dinero entre más elegirán el 7 o cercano, siempre escogí el 7",1.0,12.0,Expert
7,61t9jj13,26000,1,Player A,0,1.0,,direct,0,1,,,1.0,8.0,1.0,1,1.5,0.0833333333333333,0.993055555555556,0.0,1.0,,,1,Expert,plbxrp5a,1,7,3,27.0,1.0,,1.0,1.0,0.0,pensando en que jugador b tambien ganara,0.0,11.0,Expert
8,fc6g9ff3,22000,1,Player A,0,2.0,,direct,0,1,,,2.0,7.0,7.0,7,4.0,0.5,0.888888888888889,1.0,0.0,,,1,Expert,plbxrp5a,1,8,0,22.0,1.0,,4.0,1.0,0.0,Por el pago,2.0,12.0,Expert
9,ofzig8u2,38000,1,Player A,0,1.0,,direct,0,1,,,1.0,7.0,7.0,7,4.0,0.5,0.75,1.0,1.0,,,1,Expert,plbxrp5a,1,9,3,22.0,0.0,,2.0,1.0,0.0,instinto de influencia a los participantes de B hacia aprender a escoger el numero mayor,1.0,11.0,Expert
10,xbxqxif9,38000,1,Player A,0,2.0,,direct,0,1,,,4.0,5.0,5.0,5,0.0,0.666666666666667,0.972222222222222,0.0,1.0,,,1,Expert,plbxrp5a,1,10,1,20.0,1.0,,2.0,1.0,1.0,"No quería ser completamente codiciosa, entonces deje que el computador tomara varias veces las decisiones",0.0,12.0,Expert
