"id_in_session","code","payoff","id_in_group","role","player_payoff","pool","decoding_answer","receiver_type","is_sender_payoff_relevant","is_receiver_payoff_relevant","honesty_guess","credulity_guess","secret_number","sender_choice","sender_message","sender_message_encoded","receiver_guess","sender_win_prob","receiver_win_prob","sender_wins","receiver_wins","honesty_rate","credulity_rate","round_number","treatment","session_code","session","id","correct_answers","age","gender","gender_add","education","student","experiments","reasoning","chosen_role","pool_cluster","treatment2"
1,"zexljh6q",30000,1,"Player A",0,1,NA,"direct",0,1,NA,NA,2,5,5,"5",5,0.666666666666667,0.75,1,1,NA,NA,1,"Expert","plbxrp5a",1,1,2,22,1,NA,2,1,0,"Intenté ser estratégica y variar de vez en cuando en los números.",1,11,"Expert"
2,"nxjw53pf",25000,1,"Player A",0,2,NA,"direct",0,1,NA,NA,6,4,4,"4",0,0.5,0.888888888888889,0,1,NA,NA,1,"Expert","plbxrp5a",1,2,4,20,1,NA,2,1,1,"Basado en lo que más era beneficioso para mí como jugador A.",2,12,"Expert"
3,"my021v1b",38000,1,"Player A",0,1,NA,"direct",0,1,NA,NA,5,6,6,"6",7,1,0.888888888888889,1,1,NA,NA,1,"Expert","plbxrp5a",1,3,1,21,1,NA,2,1,1,"Razonar según las instrucciones dadas de forma que tomaba la decisión con la que más probablemente obtendría mayor beneficio, primero explora las opciones para ver como respondía el otro jugador, luego tras ver lo que no resultaba beneficioso, empecé a usar un patrón no tan evidente para que el otro jugador se diera cuenta que no era el número real, pero tampoco en el extremo inferior porque directamente me perjudicaría, dado que pude percibir que había jugadores que se daban cuenta cuando era muy evidente que el número no era real si era el extremo más alto, en cambio un poco abajo funcionaba mejor, según evidencié.",1,11,"Expert"
4,"zwzk7ek4",16000,1,"Player A",0,2,NA,"direct",0,1,NA,NA,2,0,0,"El Jugador A no envió un número",4,0,0,0,0,NA,NA,1,"Expert","plbxrp5a",1,4,3,23,0,NA,3,1,0,"Intentando mantener un equilibrio entre jugadores A y B con las respuestas",2,12,"Expert"
5,"9c1m5668",14000,1,"Player A",0,1,NA,"direct",0,1,NA,NA,4,0,0,"El Jugador A no envió un número",4,0,0,0,0,NA,NA,1,"Expert","plbxrp5a",1,5,0,24,1,NA,2,1,0,"Fue difícil al comienzo, así que mientras entendía la dinámica o tenia una lógica para mi ponía al azar el numero, luego trataba de seleccionar uno cercano al anterior.",1,11,"Expert"
6,"0terrdi1",37000,1,"Player A",0,2,NA,"direct",0,1,NA,NA,5,0,0,"El Jugador A no envió un número",3.1,0,0,0,0,NA,NA,1,"Expert","plbxrp5a",1,6,5,18,0,NA,2,1,1,"Teniendo en cuenta que ganara más dinero entre más elegirán el 7 o cercano, siempre escogí el 7",1,12,"Expert"
7,"61t9jj13",26000,1,"Player A",0,1,NA,"direct",0,1,NA,NA,1,8,1,"1",1.5,0.0833333333333333,0.993055555555556,0,1,NA,NA,1,"Expert","plbxrp5a",1,7,3,27,1,NA,1,1,0,"pensando en que jugador b tambien ganara",0,11,"Expert"
8,"fc6g9ff3",22000,1,"Player A",0,2,NA,"direct",0,1,NA,NA,2,7,7,"7",4,0.5,0.888888888888889,1,0,NA,NA,1,"Expert","plbxrp5a",1,8,0,22,1,NA,4,1,0,"Por el pago",2,12,"Expert"
9,"ofzig8u2",38000,1,"Player A",0,1,NA,"direct",0,1,NA,NA,1,7,7,"7",4,0.5,0.75,1,1,NA,NA,1,"Expert","plbxrp5a",1,9,3,22,0,NA,2,1,0,"instinto de influencia a los participantes de B hacia aprender a escoger el numero mayor",1,11,"Expert"
10,"xbxqxif9",38000,1,"Player A",0,2,NA,"direct",0,1,NA,NA,4,5,5,"5",0,0.666666666666667,0.972222222222222,0,1,NA,NA,1,"Expert","plbxrp5a",1,10,1,20,1,NA,2,1,1,"No quería ser completamente codiciosa, entonces deje que el computador tomara varias veces las decisiones",0,12,"Expert"
11,"901lc5i2",46000,2,"Player B",4000,3,NA,"direct",0,1,NA,NA,1,8,1,"1",1.5,0.0833333333333333,0.993055555555556,0,1,NA,NA,1,"Expert","plbxrp5a",1,11,2,21,1,NA,2,1,1,"Las decisiones las tome basadas en tres puntos de las instrucciones, la primera pensar que si lo pongo en decimales hay mayor probabilidad de que sea cercano al número secreto, lo hacia cuando no estaba segura de si el jugador A había delegado la decisión al computador, también tener en cuenta que el 4 era como el numero neutral en cuanto a la probabilidad, entonces cuando el mensaje era entre 4 o 5 elegia el 4, o teniendo en cuenta lo anterior descrito 4,5, y lo ultimo que tuve en cuenta fue el tiempo si la decisión se demoraba hasta los 15 segundos había mayor probabilidad de que la decisión la tomo el jugador A, si era antes era mas probable que se la hubiera delgado al computador.",1,13,"Expert"
12,"m0vrgatf",46000,2,"Player B",0,4,NA,"direct",0,1,NA,NA,5,0,0,"El Jugador A no envió un número",3.1,0,0,0,0,NA,NA,1,"Expert","plbxrp5a",1,12,4,20,1,NA,2,1,0,"Yo era jugador B, por lo que era la responsable de adivinar el número secreto. Mi estrategia fue siempre poner el número que el jugador A sugería, ya que, en teoría, mis decisiones determinaban que tanto dinero ganábamos ambos. Por lo que, si el jugador A le daba la responsabilidad al computador de dar el número (teniendo en cuenta que iba a dar el verdadero), era más probable que ambos ganáramos.",2,14,"Expert"
13,"oo1n5ugr",46000,2,"Player B",4000,3,NA,"direct",0,1,NA,NA,1,7,7,"7",4,0.5,0.75,1,1,NA,NA,1,"Expert","plbxrp5a",1,13,2,22,0,NA,4,0,0,"los valores mayores de 6 no los tenia en cuenta, asi que iba a 4, valores menor de 4 confiaba al 100%",2,13,"Expert"
14,"ur9vtr5u",42000,2,"Player B",0,4,NA,"direct",0,1,NA,NA,6,4,4,"4",0,0.5,0.888888888888889,0,1,NA,NA,1,"Expert","plbxrp5a",1,14,5,21,1,NA,2,1,0,"si era un número bajo confiaba, si era uno alto ponia uno bajo y si era 4 me dejaba influir",2,14,"Expert"
15,"vzooqcgg",38000,2,"Player B",4000,3,NA,"direct",0,1,NA,NA,5,6,6,"6",7,1,0.888888888888889,1,1,NA,NA,1,"Expert","plbxrp5a",1,15,1,20,0,NA,2,1,1,"tome las decisiones  mediante del otro jugador estaba colocando en los numeros.",2,13,"Expert"
16,"6pfex18y",34000,2,"Player B",0,4,NA,"direct",0,1,NA,NA,2,7,7,"7",4,0.5,0.888888888888889,1,0,NA,NA,1,"Expert","plbxrp5a",1,16,2,22,1,NA,4,1,0,"Guiada por las las respuestas anteriores",1,14,"Expert"
17,"ejekyhc7",38000,2,"Player B",0,3,NA,"direct",0,1,NA,NA,4,0,0,"El Jugador A no envió un número",4,0,0,0,0,NA,NA,1,"Expert","plbxrp5a",1,17,5,22,0,NA,2,1,0,"Tratando de encontrar patrones y siguiendo logicas",0,13,"Expert"
18,"upl95jkt",30000,2,"Player B",0,4,NA,"direct",0,1,NA,NA,2,0,0,"El Jugador A no envió un número",4,0,0,0,0,NA,NA,1,"Expert","plbxrp5a",1,18,4,19,0,NA,2,1,0,"al principio fue cálculos mentales para responder, luego en la segunda actividad, respondí lo que el otro jugador decía",1,14,"Expert"
19,"cgy3u092",30000,2,"Player B",4000,3,NA,"direct",0,1,NA,NA,2,5,5,"5",5,0.666666666666667,0.75,1,1,NA,NA,1,"Expert","plbxrp5a",1,19,2,19,0,NA,1,1,0,"pensando y leyendo bien",1,13,"Expert"
20,"gtwo2wtk",38000,2,"Player B",0,4,NA,"direct",0,1,NA,NA,4,5,5,"5",0,0.666666666666667,0.972222222222222,0,1,NA,NA,1,"Expert","plbxrp5a",1,20,3,18,0,NA,2,1,1,"logica y realista",2,14,"Expert"
